"date";"pronostico";"Unidades"
"798";2014-03-08;347.645;331
"799";2014-03-09;7.454;0
"800";2014-03-10;870.254;831
"801";2014-03-11;1039.629;1166
"802";2014-03-12;1182.107;1163
"803";2014-03-13;1271.079;1216
"804";2014-03-14;1324.643;1220
"805";2014-03-15;359.894;343
"806";2014-03-16;7.31;6
"807";2014-03-17;853.117;735
"808";2014-03-18;984.215;1061
"809";2014-03-19;1193.202;1135
"810";2014-03-20;1364.507;1240
"811";2014-03-21;1240.518;1374
"812";2014-03-22;370.509;335
"813";2014-03-23;7.962;1
"814";2014-03-24;17.561;0
"815";2014-03-25;1158.712;879
"816";2014-03-26;1365.928;1303
"817";2014-03-27;1428.733;1439
